,id,code,statDate,pubDate,statDate.1,goods_sale_and_service_render_cash,net_deposit_increase,net_borrowing_from_central_bank,net_borrowing_from_finance_co,net_original_insurance_cash,net_cash_received_from_reinsurance_business,net_insurer_deposit_investment,net_deal_trading_assets,interest_and_commission_cashin,net_increase_in_placements,net_buyback,tax_levy_refund,other_cashin_related_operate,subtotal_operate_cash_inflow,goods_and_services_cash_paid,net_loan_and_advance_increase,net_deposit_in_cb_and_ib,original_compensation_paid,handling_charges_and_commission,policy_dividend_cash_paid,staff_behalf_paid,tax_payments,other_operate_cash_paid,subtotal_operate_cash_outflow,net_operate_cash_flow,invest_withdrawal_cash,invest_proceeds,fix_intan_other_asset_dispo_cash,net_cash_deal_subcompany,other_cash_from_invest_act,subtotal_invest_cash_inflow,fix_intan_other_asset_acqui_cash,invest_cash_paid,impawned_loan_net_increase,net_cash_from_sub_company,other_cash_to_invest_act,subtotal_invest_cash_outflow,net_invest_cash_flow,cash_from_invest,cash_from_mino_s_invest_sub,cash_from_borrowing,cash_from_bonds_issue,other_finance_act_cash,subtotal_finance_cash_inflow,borrowing_repayment,dividend_interest_payment,proceeds_from_sub_to_mino_s,other_finance_act_payment,subtotal_finance_cash_outflow,net_finance_cash_flow,exchange_rate_change_effect,cash_equivalent_increase,cash_equivalents_at_beginning,cash_and_equivalents_at_end
0,43890,300062.XSHE,2016-03-31,2016-04-27,2016-03-31,306248384.0,,,,,,,,,,,809885.4375,80575152.0,387633408.0,162190992.0,,,,,,35124380.0,18573300.0,90193096.0,306081760.0,81551664.0,,,23000.0,,,23000.0,50036260.0,,,57247628.0,31310.7109,107315200.0,-107292200.0,,,175940000.0,,,175940000.0,233743200.0,6090259.5,,,239833456.0,-63893460.0,10733.6904,-89623264.0,195627120.0,106003856.0
0,107878,300062.XSHE,2017-06-30,2017-08-26,2017-06-30,150162816.0,,,,,,,,,,,1463988.25,31498902.0,183125712.0,168376544.0,,,,,,23048250.0,20118094.0,31562764.0,243105648.0,-59979932.0,,,,143604992.0,,143604992.0,39790484.0,,,,,39790484.0,103814520.0,2200000.0,2200000.0,245540000.0,178092000.0,,425832000.0,52315000.0,21807520.0,1170000.0,30874014.0,104996536.0,320835456.0,-797545.0,363872512.0,154917296.0,518789792.0
0,130296,300062.XSHE,2018-06-30,2018-08-30,2018-06-30,244161079.54,,,,,,,,,,,282682.63,11792492.74,256236254.91,153807149.62,,,,,,28432967.92,18492031.11,37426187.92,238158336.57,18077918.34,,,40950.0,,,40950.0,-1917097.09,,,,,-1917097.09,1958047.09,0.0,0.0,63326391.46,,11996300.0,75322691.46,54395442.09,20071940.0,,3480000.0,77947382.09,-2624690.63,2000181.85,19411456.65,282199938.25,272321258.95
0,134064,300062.XSHE,2018-09-30,2018-10-27,2018-09-30,317562900.66,,,,,,,,,,,265254.0,53683193.21,371511347.87,191194301.41,,,,,,33312599.03,17944535.27,51700094.66,294151530.37,77359817.5,,,-32450.0,,,5377550.0,12167109.02,,,,,78287109.02,-72909559.02,0.0,0.0,55849709.6,,0.0,55849709.6,134103741.86,8063669.87,,235664.88,142403076.61,-86553367.01,1670194.07,-80432914.46,272321258.95,222755423.0
0,95092,300063.XSHE,2016-06-30,2016-08-27,2016-06-30,1389629056.0,,,,,,,,,,,5027908.5,2201908.0,1396858752.0,1074045440.0,,,,,,62591232.0,36034312.0,164974288.0,1337645184.0,59213568.0,10000000.0,18760.0,126127.5938,,,10144888.0,9137102.0,,,109014888.0,7000000.0,125151984.0,-115007096.0,,,121911896.0,,30674612.0,152586496.0,85796968.0,11579819.0,,-281329.1562,97095456.0,55491048.0,73560.8125,-228922.9844,0.0,-228922.9844
0,98922,300063.XSHE,2016-09-30,2016-10-29,2016-09-30,1543602560.0,,,,,,,,,,,4643086.0,48122964.0,1596368512.0,1371354496.0,,,,,,61802288.0,41232196.0,85963664.0,1560352640.0,36015912.0,,,53051.3906,,,53051.3906,3236899.25,,,,-7000000.0,-3763100.75,3816152.0,,,201279328.0,,,201279328.0,182685952.0,6467621.0,,,189153584.0,12125750.0,72190.3125,52030004.0,34999928.0,87029936.0
0,103006,300063.XSHE,2017-03-31,2017-04-26,2017-03-31,1281847936.0,,,,,,,,,,,2428432.75,162711360.0,1446987776.0,1317907456.0,,,,,,69707272.0,44238844.0,7605005.5,1439458560.0,7529193.5,,,235400.0,,,235400.0,2506471.5,,,,,2506471.5,-2271071.5,,,132903840.0,,,132903840.0,71888328.0,5971276.5,,922767.75,78782368.0,54121472.0,-165203.1719,59214392.0,228194768.0,287409152.0
0,130720,300063.XSHE,2018-06-30,2018-08-31,2018-06-30,2138914571.46,,,,,,,,,,,4955156.23,-64150707.2,2079719020.49,1917042820.17,,,,,,65653951.77,48477974.74,67467934.84,2098642681.52,-18923661.03,,,172800.0,,,172800.0,893638.09,,,,,893638.09,-720838.09,,,70000000.0,,,70000000.0,114810972.03,5112780.04,,138501.09,120062253.16,-50062253.16,509319.77,-69197432.51,266933592.33,197236159.82
0,140329,300063.XSHE,2018-12-31,2019-04-24,2018-12-31,2235329884.71,,,,,,,,,,,3272590.67,-18650837.68,2219951637.7,2134825954.56,,,,,,75103131.52,25513584.42,58462789.14,2293905459.64,-73953821.94,,,1164639.29,,,1164639.29,6118128.02,,,,,29518128.02,-28353488.73,,,101987016.0,,,264987016.0,52726753.92,5889954.34,,64430012.58,123046720.84,141940295.16,-151266.12,39481718.37,175626641.45,215108359.82
0,142101,300063.XSHE,2019-03-31,2019-04-27,2019-03-31,1563373920.55,,,,,,,,,,,9773738.21,34874052.54,1608021711.3,1480636655.7,,,,,,86868735.08,26671411.19,47360057.0,1641536858.97,-33515147.67,,,,,,,445811.76,32137955.51,,,,32583767.27,-32583767.27,,,152379000.0,,,152379000.0,136212944.97,16647733.05,,,152860678.02,-481678.02,-239707.55,-66820300.51,215106910.25,148286609.74
