,id,code,statDate,pubDate,statDate.1,total_operating_revenue,operating_revenue,interest_income,premiums_earned,commission_income,total_operating_cost,operating_cost,interest_expense,commission_expense,refunded_premiums,net_pay_insurance_claims,withdraw_insurance_contract_reserve,policy_dividend_payout,reinsurance_cost,operating_tax_surcharges,sale_expense,administration_expense,financial_expense,asset_impairment_loss,fair_value_variable_income,investment_income,invest_income_associates,exchange_income,operating_profit,non_operating_revenue,non_operating_expense,disposal_loss_non_current_liability,total_profit,income_tax_expense,net_profit,np_parent_company_owners,minority_profit,basic_eps,diluted_eps,other_composite_income,total_composite_income,ci_parent_company_owners,ci_minority_owners
0,123800,000762.XSHE,2018-03-31,2018-04-27,2018-03-31,90897101.55,90897101.55,,,,107284927.14,77968128.18,,,,,,,,939095.44,3743120.3,21566184.53,807400.89,2260997.8,,-864607.21,-864607.21,,-17252432.8,1996.23,386984.58,,-17637421.15,3698679.53,-21336100.68,-17682138.23,-3653962.45,-0.034,-0.034,,-21336100.68,-17682138.23,-3653962.45
0,133194,000762.XSHE,2018-09-30,2018-10-31,2018-09-30,124776194.78,124776194.78,,,,142262416.98,95319671.44,,,,,,,,787895.89,5425715.97,27804818.84,-239398.8,13163713.64,,-849232.79,-849232.79,,-16370789.18,248336.54,1957435.9,,-18079888.54,4517765.53,-22597654.07,-38357561.29,15759907.22,-0.0736,-0.0736,,-22597654.07,-38357561.29,15759907.22
0,156027,000766.XSHE,2019-09-30,2019-10-30,2019-09-30,487369808.98,487369808.98,,,,443347445.23,75285842.25,,,,,,,,4235772.32,295339234.19,30826626.52,9338495.45,,,1518928.98,,,46397605.46,150400.49,144923.83,,46403082.12,6646878.29,39756203.83,40023714.57,-267510.74,0.0414,0.0414,,39756203.83,40023714.57,-267510.74
0,14013,000767.XSHE,2015-06-30,2015-08-31,2015-06-30,2531224631.81,2531224631.81,,,,2114687156.66,1754169749.71,,,,,,,,23715767.93,486003.97,31520604.44,304795030.61,,,17875646.8,17875646.8,,434413121.95,28378401.24,64793.17,54996.57,462726730.02,92583054.71,370143675.31,295345615.21,74798060.1,0.1311,0.1311,,370143675.31,295345615.21,74798060.1
0,14011,000767.XSHE,2015-12-31,2016-04-30,2015-12-31,2205680384.0,2205680384.0,,,,2093140736.0,1813242368.0,,,,,,,,21560160.0,1049866.125,41868596.0,177099312.0,38320352.0,,-69912792.0,-70289776.0,,42627000.0,-42545592.0,5567957.5,127076.8281,-5486548.0,123986408.0,-129472952.0,-179893568.0,50420616.0,-0.0557,-0.0772,,-129472952.0,-179893568.0,50420616.0
0,14010,000767.XSHE,2016-03-31,2016-04-30,2016-03-31,1408950784.0,1408950784.0,,,,1644258688.0,1363950464.0,,,,,,,,11909049.0,429747.0625,25945974.0,242023504.0,,,38846000.0,38846000.0,,-196461952.0,9902183.0,1174425.25,,-187734192.0,12970964.0,-200705152.0,-190600944.0,-10104207.0,-0.0846,-0.0846,,-200705152.0,-190600944.0,-10104207.0
0,98496,000767.XSHE,2016-06-30,2016-08-31,2016-06-30,2035337984.0,2035337984.0,,,,1997156352.0,1672368000.0,,,,,,,,19223450.0,556664.3125,28572314.0,276435840.0,,,52684404.0,52684404.0,,90866072.0,27613084.0,1051834.375,,117427320.0,41280884.0,76146440.0,73773672.0,2372761.0,0.0328,0.0328,,76146440.0,73773672.0,2372761.0
0,98951,000767.XSHE,2016-09-30,2016-10-20,2016-09-30,2302509568.0,2302509568.0,,,,2132984960.0,1822723584.0,,,,,,,,16077020.0,274622.2188,34454368.0,259141136.0,314133.2188,,57040000.0,57040000.0,,226564720.0,18629602.0,7203903.5,,237990416.0,102670944.0,135319472.0,117157976.0,18161496.0,0.052000000000000005,0.052000000000000005,,135319472.0,117157976.0,18161496.0
0,109485,000767.XSHE,2017-06-30,2017-08-23,2017-06-30,2408904448.0,2408904448.0,,,,2895332096.0,2441652992.0,,,,,,,,29873406.0,567562.875,42831248.0,380563296.0,-156282.5469,,22854690.0,22854690.0,,-451473888.0,1351650.375,1893995.625,20402.3496,-452016256.0,22692212.0,-474708448.0,-364157568.0,-110550888.0,-0.1184,-0.1184,,-474708448.0,-364157568.0,-110550888.0
0,126557,000767.XSHE,2018-06-30,2018-08-16,2018-06-30,2576751547.4,2576751547.4,,,,2913800246.71,2434869211.79,,,,,,,,29689954.52,404998.86,54736859.13,396189108.92,-2089886.51,,17323829.48,17323829.48,,-313033994.93,919440518.26,3846029.74,,602560493.59,-20534194.03,623094687.62,692945550.19,-69850862.57,0.2252,0.2252,,623094687.62,692945550.19,-69850862.57
0,131921,000767.XSHE,2018-09-30,2018-10-30,2018-09-30,2815637945.57,2815637945.57,,,,3111201984.78,2662417188.6,,,,,,,,29026410.88,656195.31,37957402.57,381781494.48,-636707.06,,36817700.0,36817700.0,,-255379459.34,24033177.7,8105664.02,,-239451945.66,4932324.65,-244384270.31,-159816652.43,-84567617.88,-0.0519,-0.0519,,-244384270.31,-159816652.43,-84567617.88
0,14106,000776.XSHE,2015-09-30,2015-10-31,2015-09-30,6642371584.0,6642371584.0,575201792.0,,4360236544.0,3998493184.0,3998493184.0,,,,,,,,464880224.0,3533166336.0,,,12500.0098,-896295744.0,2594034432.0,75062600.0,4519442.0,2643878400.0,41363228.0,4682338.0,,2680559360.0,620041664.0,2060517632.0,1980055936.0,80461760.0,0.26,0.26,-1364172416.0,696345280.0,741415232.0,-45069948.0
0,102615,000776.XSHE,2016-12-31,2017-03-25,2016-12-31,5519748096.0,5519748096.0,,,3575415552.0,3065885440.0,,,,,,,,,44787552.0,,2605526784.0,,415137184.0,134660464.0,1429453696.0,75282888.0,9527677.0,2453862656.0,122242176.0,35039204.0,,2541065728.0,588663808.0,1952401920.0,1845050112.0,107351832.0,0.24,0.24,458665344.0,2411067392.0,2319568640.0,91498720.0
0,148230,000776.XSHE,2019-03-31,2019-04-30,2019-03-31,6839194354.71,6839194354.71,2676254637.25,,2419936795.84,2819558404.48,,1993700712.44,,,,,,,30524023.73,,2523611168.1,,51958.53,2196797794.54,1401805491.21,103158734.64,-6579770.61,4019635950.23,1293993.23,1775460.1,,4019154483.36,845005584.96,3174148898.4,2919149980.51,254998917.89,0.38,0.38,843011862.06,4017160760.46,3766201487.12,250959273.34
0,156773,000776.XSHE,2019-09-30,2019-10-30,2019-09-30,5416046741.44,5416046741.44,2664550358.87,,2251151143.15,3291556017.67,,1903730035.04,,,,,,,34915538.42,,2235192220.32,,931377.32,-27546498.08,1249596336.62,32486880.03,4914032.13,2124490723.77,-20386.39,15689393.92,,2108780943.46,484925854.94,1623855088.52,1475640313.34,148214775.18,0.19,0.19,37318952.51,1661174041.03,1509180629.11,151993411.92
0,190713,000776.XSHE,2020-06-30,2020-08-29,2020-06-30,8818773274.65,8818773274.65,2708830498.83,,3099949442.96,3706941868.97,,1792365733.35,,,,,,,29823236.25,,3359253304.67,,-3734401.16,2137012722.98,1850386080.4,176617615.53,3642219.62,5111831405.68,3935257.28,8310870.1,,5107455792.86,1155072884.26,3952382908.6,3680993760.1,271389148.5,0.48,0.48,-184915027.41,3767467881.19,3496194029.2,271273851.99
0,194980,000776.XSHE,2020-09-30,2020-10-31,2020-09-30,7205641821.69,7205641821.69,3017778017.12,,4251991661.66,3978677944.04,,1771630026.96,,,,,,,50621926.59,,3706902555.18,,545587.01,-730855318.74,2245187499.48,198962775.29,10260170.13,3226963877.65,6120112.58,4025497.27,,3229058492.96,630746439.11,2598312053.85,2388557969.6,209754084.25,0.31,0.31,-190196232.21,2408115821.64,2202814505.44,205301316.2
0,128117,000777.XSHE,2018-06-30,2018-08-28,2018-06-30,385049416.83,385049416.83,,,,368727962.83,306122324.86,,,,,,,,1569785.85,23533702.0,24513344.19,-982090.44,13970896.37,,23078929.88,20881596.68,,42159152.64,85213.95,0.0,,42244366.59,-1277413.63,43521780.22,43521780.22,,0.1135,0.1135,-5087591.06,38434189.16,38434189.16,
0,14201,000778.XSHE,2015-06-30,2015-08-25,2015-06-30,13669250048.0,13669250048.0,,,,13883160576.0,13172872192.0,,,,,,,,22043950.0,285043264.0,183007680.0,208111840.0,12081501.0,-20000.0,463356256.0,31984108.0,,249425632.0,35395704.0,4236823.0,3906718.0,280584512.0,22022864.0,258561648.0,302852512.0,-44290868.0,0.0831,0.0831,14484132.0,273045792.0,312991424.0,-39945632.0
0,127057,000778.XSHE,2018-06-30,2018-08-21,2018-06-30,10682384348.78,10682384348.78,,,,9670543515.21,8761601674.91,,,,,,,,113702100.06,247483496.85,195096129.4,151060039.56,201600074.43,,29479372.04,19479372.04,,1077372818.76,14714847.51,16889613.5,,1075198052.77,301849278.58,773348774.19,756644396.32,16704377.87,0.1896,0.1896,-305182558.06,468166216.13,450142091.12,18024125.01
0,100017,000782.XSHE,2016-09-30,2016-10-27,2016-09-30,602749120.0,602749120.0,,,,616496320.0,567825408.0,,,,,,,,1216183.625,20105378.0,23953174.0,5868369.5,-2472156.75,,,,,-13747189.0,1346740.5,625970.8125,507389.1562,-13026419.0,,-13026419.0,-12875829.0,-150590.0625,-0.02,-0.02,91607.8984,-12934811.0,-12784221.0,-150590.0625
0,131625,000782.XSHE,2018-09-30,2018-10-29,2018-09-30,1083516657.91,1083516657.91,,,,1066638820.52,1000546673.97,,,,,,,,4292093.98,21696839.9,29496933.34,9319538.84,87403.09,,849040.11,,,17726640.73,950654.21,11000.0,,18666294.94,4136252.86,14530042.08,14003833.9,526208.18,0.03,0.03,2538441.64,17068483.72,16542275.54,526208.18
0,203331,000782.XSHE,2020-12-31,2021-04-28,2020-12-31,711618638.68,711618638.68,,,,672721723.88,663839997.58,,,,,,,,4609870.42,-26166533.75,31519072.87,-3192163.51,,,32116491.26,,,80917334.55,136788.46,38757.12,,81015365.89,3874284.06,77141081.83,77156724.97,-15643.14,0.14400000000000002,0.14400000000000002,-2855367.33,74285714.5,74301357.64,-15643.14
0,14389,000783.XSHE,2015-06-30,2015-08-20,2015-06-30,3233218048.0,3233218048.0,401543808.0,,2081370880.0,1068995136.0,1068995136.0,,,,,,,,164654400.0,902504256.0,,,1785911.25,799773312.0,-51324192.0,60067652.0,-15734.0498,2164222720.0,5587740.5,1435247.25,,2168375296.0,491961024.0,1676414208.0,1676061952.0,352216.7188,0.36,0.36,99339536.0,1775753728.0,1775385216.0,368556.75
0,14387,000783.XSHE,2015-12-31,2016-03-26,2015-12-31,1524987392.0,1524987392.0,287958176.0,,1309959936.0,1214731648.0,1214731648.0,,,,,,,,105920528.0,966339264.0,,,92427888.0,-98713152.0,-24262786.0,6727541.0,-766114.25,310255808.0,3038714.75,2525606.75,,310768928.0,-2528664.25,313297568.0,311709728.0,1587843.875,0.07,0.07,552710080.0,866007680.0,858446656.0,7560997.0
0,14386,000783.XSHE,2016-03-31,2016-04-30,2016-03-31,1196478976.0,1196478976.0,233702496.0,,773845632.0,621708544.0,621708544.0,,,,,,,,96875136.0,473717568.0,,,-9119655.0,-178212272.0,307905248.0,23299920.0,-1952097.25,574770432.0,5453752.5,416641.7188,,579807552.0,76187240.0,503620320.0,502349632.0,1270679.0,0.11,0.11,-284205568.0,219414736.0,220456992.0,-1042248.5
0,124903,000783.XSHE,2018-03-31,2018-04-28,2018-03-31,1374006139.79,1374006139.79,,,773618544.5,945776563.23,,,,,,,,,11247987.62,,856143242.52,,11292787.22,27390935.34,338968894.32,22635568.26,-1212098.23,428229576.56,3855598.51,391002.78,,431694172.29,104082306.77,327611865.52,322185205.81,5426659.71,0.06,0.06,-18320324.41,309291541.11,313252000.21,-3960459.1
0,154594,000786.XSHE,2019-09-30,2019-10-26,2019-09-30,3778641107.0,3778641107.0,,,,2931053505.55,2393398607.65,,,,,,,,42488777.9,221253414.97,144521822.13,14822521.37,,-308286.72,6163108.05,-7283203.48,,854615912.94,13059352.85,89374537.58,,778300728.21,93591937.28,684708790.93,680603268.65,4105522.28,0.40299999999999997,0.40299999999999997,1451100.11,686159891.04,682054368.76,4105522.28
0,14531,000788.XSHE,2015-03-31,2015-04-28,2015-03-31,458357376.0,458357376.0,,,,546433280.0,432631680.0,,,,,,,,502943.3125,22378232.0,62048864.0,19446024.0,9425555.0,,-2185240.25,,,-90261136.0,1893340.625,13883.2305,,-88381680.0,2890980.5,-91272656.0,-86155616.0,-5117041.0,-0.14,-0.14,-132803.2188,-91405464.0,-86288416.0,-5117041.0
0,14528,000788.XSHE,2015-12-31,2016-04-29,2015-12-31,392174624.0,392174624.0,,,,467720896.0,316215744.0,,,,,,,,5035956.5,60165756.0,65944044.0,16804464.0,3554908.75,,229169200.0,-6644605.0,,153622944.0,79192944.0,6744101.5,59615.4492,226071776.0,16164647.0,209907136.0,210586208.0,-679080.3125,0.35,0.35,-448757.1875,209458368.0,210137456.0,-679080.3125
0,108156,000788.XSHE,2016-12-31,2017-04-29,2016-12-31,728988992.0,728988992.0,,,,717908288.0,590146816.0,,,,,,,,3502594.75,71508464.0,42047840.0,1538918.0,9163696.0,,-3965934.0,-10225934.0,,7114746.5,2759923.25,761369.5625,119068.9922,9113300.0,12613828.0,-3500527.5,-2416505.25,-1084022.375,-0.01,-0.01,-1962987.125,-5463514.5,-4379492.0,-1084022.375
0,112368,000788.XSHE,2017-09-30,2017-10-26,2017-09-30,569527167.36,569527167.36,,,,554791207.28,417150784.33,,,,,,,,2188033.84,110739974.25,23556414.37,356007.47,799993.02,,-2229767.67,,,12654628.56,359112.15,87125.82,4135.22,12926614.89,4263569.29,8663045.6,8193493.53,469552.07,0.01,0.01,1295339.01,9958384.61,9488832.54,469552.07
0,14718,000792.XSHE,2015-06-30,2015-08-26,2015-06-30,2641443840.0,2641443840.0,,,,2599094272.0,1516229632.0,,,,,,,,212101104.0,396320448.0,128384176.0,224116432.0,121942400.0,,16408651.0,-4104978.0,,58758396.0,358410816.0,2485732.25,468.12,414683488.0,78768344.0,335915136.0,347672032.0,-11756889.0,0.2186,0.2186,,335915136.0,347672032.0,-11756889.0
0,103295,000792.XSHE,2016-12-31,2017-03-31,2016-12-31,3076207616.0,3076207616.0,,,,3252445952.0,1968107520.0,,,,,,,,156640608.0,113320688.0,236759264.0,240796160.0,536821696.0,,23328104.0,4377484.0,,-152910240.0,220178016.0,6818163.5,1027503.375,60449620.0,170846512.0,-110396896.0,81016328.0,-191413216.0,0.0436,0.0436,,-110396896.0,81016328.0,-191413216.0
