,id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual
0,121050,300130.XSHE,2017-12-31,2018-03-22,2017-12-31,0.09300000000000001,16355635.21,18527443.23,5024691.44,1.2405,0.8215,0.6913,4.9781,37.2492,96.2025,9.7662,4.9781,8.8153,16.7292,1.9451,42.996,11.6606,66.2224,100.5732,28.0746,739.2863,20.1211,100.1282,20.1211,100.1282,85.5379,186.8963,-62.2094,52.7872,-59.0252,53.1458
0,328325,300130.XSHE,2020-06-30,2020-08-28,2020-06-30,0.1665,60987422.54,68335642.19,296313.46,3.28,2.46,2.42,11.67,26.17,90.27,12.47,11.67,5.12,5.39,-0.47,79.28,0.34,74.88,87.23,6.63,68.13,-3.38,41.63,-3.38,41.63,-0.39,83.53,0.93,88.42,0.27,85.45
0,336687,300130.XSHE,2020-09-30,2020-10-28,2020-09-30,0.0865,37519111.49,35873935.95,-1299107.99,1.7,1.51,1.18,6.4,27.19,94.36,8.54,6.4,6.15,6.49,0.48,80.21,-2.9,88.71,96.85,2.47,43.87,-38.01,-9.46,-38.01,-9.46,-68.65,-37.99,-75.16,-50.32,-74.12,-48.07
0,255477,300131.XSHE,2019-06-30,2019-08-30,2019-06-30,0.0682,68776358.17,117324041.19,1496081.35,4.12,3.88,1.69,2.87,8.83,96.51,3.69,2.87,1.42,1.29,1.47,94.68,1.21,94.27,105.85,15.01,430.41,28.97,31.52,28.97,31.52,53.57,58.63,46.77,56.47,36.87,61.01
0,290633,300131.XSHE,2019-12-31,2020-04-27,2019-12-31,-0.12,-111740127.82,-69721234.0,-17599090.39,-7.21,-6.28,-2.37,-5.23,5.11,102.65,-4.96,-5.23,2.11,2.29,2.62,53.5,13.5,87.08,125.74,6.34,-239.25,-21.45,-22.57,-21.45,-22.57,-1807.47,-281.82,-857.31,-381.52,-562.16,-432.29
0,334770,300131.XSHE,2020-09-30,2020-10-20,2020-09-30,0.2945,-216602735.89,-5132288.29,531514912.28,24.21,-16.65,6.14,7.88,5.65,100.14,7.62,7.88,1.57,2.23,1.59,-1.86,192.69,-68.77,103.54,11.75,-8283.33,6.45,2.28,6.45,2.28,284.43,1492.52,483.21,3512.15,715.66,3054.89
0,107511,300133.XSHE,2016-12-31,2017-04-25,2016-12-31,0.1135,163616632.2,154238870.57,15276248.22,3.16,2.61,1.94,9.52,22.26,92.62,8.11,9.52,5.64,3.23,1.61,83.22,8.24,82.51,39.19,-10.38,-140.59,58.25,159.05,58.25,159.05,-38.79,516.08,-25.81,2541.51,-22.48,2177.85
0,108040,300133.XSHE,2017-03-31,2017-04-26,2017-03-31,0.0825,114115552.0,135937840.0,19556008.0,2.2436,1.7774,1.3826,33.044000000000004,28.7489,69.4501,34.9448,33.044000000000004,15.1331,10.6202,3.7054,77.4905,11.1478,79.2183,180.1207,-100.6268,-329.3851,-11.6681,-78.709,-11.6681,-78.709,-0.9997,-8.2714,18.0862,-26.0899,23.1801,-27.3568
0,117048,300134.XSHE,2017-09-30,2017-10-31,2017-09-30,-0.3622,-275140687.26,-318043891.03,-8463773.54,-4.9566,-4.9062,-3.8391,-70.1012,4.7217,179.3305,-81.4417,-70.1012,2.0725,22.1637,0.542,96.6491,2.572,98.9825,120.2487,-0.0304,0.0383,-25.1612,-7.3658,-25.1612,-7.3658,-5157.1787,-328.6371,-38795.1245,-326.6142,-77941.9799,-318.7404
0,131153,300134.XSHE,2018-06-30,2018-08-30,2018-06-30,-0.066,-61543477.38,-76238544.88,5455817.91,-0.95,-1.15,-0.76,-11.86,10.68,116.96,-15.22,-11.86,2.23,19.98,1.27,111.23,-7.96,121.5,110.33,2.2,-12.96,3.89,-0.75,3.89,-0.75,1.62,-277.06,19.02,-264.36,23.69,-259.57
0,244076,300134.XSHE,2019-03-31,2019-04-25,2019-03-31,0.0291,-7089580.87,-3588511.38,7115314.01,0.42,-0.13,0.34,3.92,19.64,100.61,4.97,3.92,2.26,5.61,2.28,-12.17,24.13,-31.8,112.62,39.23,-6447.5,30.18,20.42,30.18,20.42,-24.14,-67.82,-28.85,-67.02,-29.75,-76.35
0,255479,300134.XSHE,2019-06-30,2019-08-30,2019-06-30,0.0247,-15477955.98,2744918.76,10312471.36,0.35,-0.29,0.29,2.82,23.09,99.61,2.67,2.82,1.6,5.46,1.25,13.57,50.97,-81.67,86.03,9.93,2516.24,54.7,17.94,54.7,17.94,127.19,-36.54,136.71,-15.21,137.42,-15.0
0,110494,300135.XSHE,2016-12-31,2017-04-29,2016-12-31,-0.0036,-28124078.05,-22477135.32,25481931.5,-0.28,-2.38,-0.15,-1.12,13.16,105.91,0.79,-1.12,2.91,12.41,-0.19,-1126.28,1276.85,846.11,184.59,62.7,-1061.36,-8.2,-20.37,-8.2,-20.37,118.09,-75.3,83.48,-141.73,86.53,-129.41
0,116032,300135.XSHE,2017-09-30,2017-10-28,2017-09-30,0.0133,7592675.87,8762831.37,12610118.92,1.0109,0.6394,0.4347,2.5427,14.0709,98.2556,4.6586,2.5427,3.0639999999999996,6.0944,2.4344,38.906,55.9875,63.2492,101.0512,-16.4585,-943.4882,5.1327,97.3651,5.1327,97.3651,92.3356,2222.2408,24.859,6.0072,6.2193,-11.4317
0,108179,300136.XSHE,2016-12-31,2017-04-26,2016-12-31,0.1927,120584566.07,88189155.28,-7973467.16,10.15,6.61,6.17,19.98,21.04,90.29,8.83,19.98,1.48,8.2,-1.55,53.28,-4.82,65.12,86.13,10.74,110.61,129.37,23.89,129.37,23.89,-15.1,-58.38,123.82,0.0,128.4,1.6
