,id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual
0,101142,000002.XSHE,2016-06-30,2016-08-22,2016-06-30,0.4093,4530729962.23,7300583137.32,957421328.15,4.56,4.57,0.85,9.71,24.98,87.87,13.72,9.71,2.19,1.72,0.31,88.03,11.54,100.28,132.65,60.69,500.28,45.47,311.9,45.47,311.9,9.39,401.52,-0.62,367.65,7.67,442.23
0,135240,000004.XSHE,2018-09-30,2018-10-31,2018-09-30,-0.0545,-3444755.3,-7297954.47,847778.68,-3.54,-2.66,-2.66,-8.56,83.17,107.18,-6.34,-8.56,78.88,7.63,-0.26,83.77,-9.73,75.29,99.88,-6.79,94.63,143.8,28.9,143.8,28.9,-162.96,-203.41,-255.04,-388.33,-175.27,-5866.51
0,245372,000004.XSHE,2018-12-31,2019-04-26,2018-12-31,-0.2105,-19608440.28,-22887921.16,-396954.76,-14.96,-16.6,-4.17,-12.92,80.62,120.68,-13.89,-12.92,66.97,2.11,-0.41,119.04,2.06,110.91,104.04,-45.96,222.29,63.72,8.85,63.72,8.85,-189.18,-138.39,-201.44,-64.28,-226.27,-286.38
0,142,000005.XSHE,2016-03-31,2016-04-27,2016-03-31,-0.0064,-7445716.0,-7062394.29,,-0.59,-0.65,-0.3,-14.79,49.74,116.26,-16.26,-14.79,10.71,46.6,4.91,109.99,,109.43,38.75,-81.28,499.75,221.99,13.17,221.99,13.17,12.07,75.75,20.4,73.46,15.65,73.22
0,240,000007.XSHE,2015-03-31,2015-04-30,2015-03-31,-0.0211,-4658030.12,-5332992.24,,-1.38,-1.32,-0.92,-22.4,81.35,119.21,-19.21,-22.4,49.2,37.96,5.57,95.05,,95.72,102.56,-59.42,309.3,-4.18,-68.93,-4.18,-68.93,49.42,70.41,3.41,75.53,-2.43,79.28
0,239,000007.XSHE,2015-06-30,2015-08-31,2015-06-30,-0.0112,-6059248.87,-6512353.37,,-0.74,-1.74,-0.59,-11.41,81.13,121.24,-7.87,-11.41,45.25,32.24,9.64,220.05,,235.24,101.14,260.96,-1228.54,5.35,10.45,5.35,10.45,-225.28,54.73,-1238.02,43.74,-410.97,47.07
0,237,000007.XSHE,2015-12-31,2016-04-23,2015-12-31,0.1112,24222493.82,6751035.76,-732827.47,7.23,6.82,5.45,287.81,66.62,29.26,63.06,287.81,-16.84,64.51,10.31,23.71,-2.57,94.32,-75.88,1973.21,2789.4,-89.32,-69.22,-89.32,-69.22,133.39,-58.05,208.09,708.89,209.35,705.23
0,236,000007.XSHE,2016-03-31,2016-04-30,2016-03-31,0.0332,-5542950.34,-6058530.07,25541808.34,2.05,-1.49,2.24,140.99,70.1,173.51,236.39,140.99,,129.82,5.79,-34.2,144.18,-72.32,101.32,-84.26,114.63,-70.31,-13.64,-70.31,-13.64,465.33,223.74,286.86,-57.69,257.5,-70.16
0,101145,000007.XSHE,2016-06-30,2016-08-30,2016-06-30,0.0135,-6291953.67,-8375530.69,18871023.5,0.83,-1.67,0.98,62.48,69.51,193.88,117.64,62.48,,170.72,-16.12,-90.48,203.86,-201.7,96.58,-14.24,15.17,-70.9,8.25,-70.9,8.25,534.77,-46.13,259.32,-52.03,221.11,-59.3
0,106258,000007.XSHE,2016-12-31,2017-04-19,2016-12-31,0.2625,-1740079.28,-14031851.24,72236897.81,16.07,-0.46,10.35,521.25,55.72,231.88,547.07,521.25,,120.96,32.67,-24.34,125.3,-2.87,132.62,72.41,-54.9,11.48,-3.78,11.48,-3.78,867.15,1859.18,101.91,522.06,136.09,818.13
0,247487,000007.XSHE,2018-12-31,2019-04-30,2018-12-31,-0.5414,-33686858.45,-43320944.69,-22013799.27,-65.93,-11.84,-46.24,-1841.39,65.17,525.45,-401.21,-1841.39,,88.38,0.04,23.05,11.71,17.96,122.83,-7.08,1.66,82.35,3.17,82.35,3.17,-438.4,-1524.16,-9567.36,-7938.53,-3161.69,-7892.84
0,247263,000007.XSHE,2019-03-31,2019-04-30,2019-03-31,0.0257,1467644.63,384931.34,11362910.36,4.55,0.75,2.27,96.05,67.2,95.83,127.15,96.05,,73.83,0.05,3.28,96.71,16.51,106.18,152.26,3654.45,-13.64,-9.26,-13.64,-9.26,220.96,128.76,214.51,104.73,214.91,104.74
0,255812,000007.XSHE,2019-06-30,2019-08-31,2019-06-30,-0.0375,6852631.97,3281185.65,1401310.59,-6.73,3.55,-3.29,-110.38,73.4,72.16,39.89,-110.38,,43.73,-0.06,-30.82,-13.16,-52.74,96.81,11.93,42.84,0.77,27.55,0.77,27.55,194.95,-59.99,-288.65,-246.59,-289.9,-246.19
0,339145,000007.XSHE,2020-09-30,2020-10-31,2020-09-30,-0.0453,3946304.35,1724485.47,813231.9,-9.15,2.3,-3.23,-127.83,70.26,85.98,-27.06,-127.83,0.21,53.96,-0.04,-58.69,-27.68,-25.12,112.88,2.38,16.98,22.37,-1.96,22.37,-1.96,-335.19,63.85,-201.23,-121.74,-201.78,-124.19
0,377593,000007.XSHE,2020-12-31,2021-04-29,2020-12-31,-0.2234,-5785672.59,3516409.54,-15837417.25,-67.8,-5.07,-18.38,-670.92,77.4,69.52,-692.3,-670.92,4.84,39.56,-0.14,-4.38,19.75,7.48,91.29,43.89,144.02,5.4,-6.19,5.4,-6.19,-448.39,-2300.17,-345.1,-392.35,-344.94,-392.73
0,283,000008.XSHE,2016-03-31,2016-04-30,2016-03-31,0.0042,7532043.21,-4497127.34,-1068878.37,0.27,0.18,0.22,5.41,47.9,102.11,-2.62,5.41,11.0,37.45,-0.11,-27.45,-6.52,64.97,134.99,12.1,-572.11,-7.86,-60.02,-7.86,-60.02,-110.7,-106.55,-79.55,-86.8,-79.46,-87.1
0,130018,000008.XSHE,2018-06-30,2018-08-25,2018-06-30,0.0181,41142856.28,13523754.72,28477171.06,0.72,0.58,0.55,10.39,48.44,97.4,13.14,10.39,11.78,25.97,4.7,19.54,41.14,80.9,76.75,-90.32,-3479.63,42.35,149.25,42.35,149.25,2.8,295.64,1.8,422.79,9.63,383.23
0,330,000009.XSHE,2016-03-31,2016-04-29,2016-03-31,0.0189,55417416.86,148597959.46,-37431724.4,0.67,1.24,0.58,7.8,35.19,89.3,8.0,7.75,7.18,10.14,5.03,117.09,-29.5,183.87,97.73,6.1,56.61,53.18,-20.64,52.75,-20.43,-4.91,2.19,1.85,-14.96,-45.77,-72.39
0,127645,000009.XSHE,2018-03-31,2018-04-28,2018-03-31,0.0164,102769549.21,200992394.32,-115391732.32,0.7039,2.053,0.2902,3.9188,39.263000000000005,90.1157,4.8834,3.8945,8.8363,10.5558,5.6834,186.5911,-107.1238,291.6805,89.2036,4.9862,50.1325,59.5471,-6.1868,59.543,-6.0251,13.2712,260.4889,-10.18,267.2741,5.2629,174.5288
0,378,000010.XSHE,2015-12-31,2016-04-27,2015-12-31,0.0374,-3430348.18,6395647.24,6141702.24,2.25,-0.25,0.86,7.43,28.2,98.44,3.06,7.43,1.3,8.92,6.83,13.86,13.31,-11.18,18.99,-16.36,-1047.5,312.32,188.86,312.32,188.86,132.7,462.54,149.78,2788.52,150.51,2590.6
0,377,000010.XSHE,2016-03-31,2016-04-29,2016-03-31,-0.0399,-32305639.47,-36434592.03,68054.79,-1.51,-1.5,-0.69,-27.35,26.84,130.05,-29.99,-27.35,7.13,21.21,26.79,98.74,-0.18,98.77,157.91,-24.84,82.67,-20.72,-70.39,-20.72,-70.39,-2319.94,-390.07,-1184.14,-208.92,-1407.81,-206.61
0,106933,000010.XSHE,2016-12-31,2017-04-22,2016-12-31,0.0219,-97657768.29,-100279540.26,127669706.75,0.81,-4.43,0.37,5.13,26.14,129.02,7.93,5.13,2.76,11.48,3.6,-349.44,444.89,-544.65,72.42,30.64,-105.57,-15.64,134.79,-15.64,134.79,118.47,13832.31,-41.78,487.59,-41.55,509.78
0,113183,000010.XSHE,2017-06-30,2017-08-29,2017-06-30,-0.0245,-20259080.0,-22129304.0,,-0.9198,-0.9293,-0.529,-12.125,28.1047,113.1414,-13.1414,-12.125,3.7845,16.1833,6.8553,101.0482,,101.0317,-18.2349,-108.6701,826.9318,-61.6958,60.3737,-61.6958,60.3737,-128.0866,24.2591,-134.6383,20.4328,-133.97,21.3888
0,126434,000010.XSHE,2018-03-31,2018-04-27,2018-03-31,-0.0568,-46573230.55,-46956974.98,105882.2,-4.117,-4.1177,-1.5661,-57.9316,9.1576,157.9802,-57.9262,-57.9316,13.3717,36.8752,15.3848,100.1047,-0.2257,100.0188,275.6733,-102.8795,177.43900000000002,-22.8695,-31.3003,-22.8695,-31.3003,-60.5676,95.667,-82.8349,95.6333,-82.54799999999999,95.6648
0,252452,000010.XSHE,2019-06-30,2019-08-02,2019-06-30,0.009000000000000001,-13050092.42,28192082.84,17664758.33,1.73,-3.06,0.65,8.43,28.56,89.68,17.84,8.43,0.55,6.85,6.64,57.73,36.17,-177.55,71.09,-17.54,-169.96,929.33,36.86,929.33,36.86,224.92,138.58,160.41,15.86,119.13,155.08
0,265725,000010.XSHE,2019-09-30,2019-10-31,2019-09-30,0.0408,25930403.92,82908986.56,-4784133.34,7.68,5.95,1.73,11.17,21.04,86.42,15.7,11.17,0.26,4.23,2.82,87.49,-5.05,77.56,37.61,2.22,16.32,665.02,123.51,665.02,123.51,191.93,96.7,165.75,196.39,131.25,354.83
0,294818,000010.XSHE,2020-03-31,2020-04-30,2020-03-31,-0.0143,-25240119.81,-31913067.85,,-2.65,-5.72,-0.28,-16.72,18.6,145.42,-41.96,-16.72,0.18,32.02,30.4,280.88,,215.91,295.6,-249.72,549.84,-64.8,-91.32,-64.8,-91.32,-244.36,-190.01,-159.13,-178.34,-505.7,-515.75
0,326481,000010.XSHE,2020-06-30,2020-08-25,2020-06-30,0.025,21910931.63,52024939.73,,4.59,4.9,0.75,6.78,20.07,89.23,13.87,6.78,0.01,4.67,4.54,111.87,,106.84,15.61,17.92,166.41,76.8,587.43,76.8,587.43,37.46,327.16,42.33,378.88,179.0,275.42
0,338301,000010.XSHE,2020-09-30,2020-10-30,2020-09-30,0.021,1556591.85,29484792.84,0.0,3.68,0.33,0.78,15.86,32.91,86.7,25.35,15.86,0.01,10.56,8.79,53.56,0.0,9.05,94.27,-126.58,-951.54,-63.71,-54.12,-63.71,-54.12,-41.38,-16.11,-48.48,7.28,-48.54,-16.11
0,123627,000012.XSHE,2017-12-31,2018-04-23,2017-12-31,0.046,106246762.0,123032822.0,-2.0,1.3613,1.2645,0.5556,3.4584,22.7045,96.0164,5.8652,3.4584,2.9964,9.9322,2.6418,91.4249,0.0,92.8918,111.4853,21.8666,548.9165,25.9611,8.4987,25.9611,8.4987,74.5017,-45.7938,24.8315,-66.7876,38.0993,-64.0346
0,261271,000012.XSHE,2019-09-30,2019-10-28,2019-09-30,0.0537,135913151.0,308895692.0,,1.77,1.44,0.95,6.32,26.81,88.86,7.54,6.32,3.37,5.39,2.61,146.49,,81.4,113.97,26.7,239.69,3.46,4.05,3.46,4.05,40.0,-30.5,38.25,-30.09,43.59,-31.89
0,126924,000016.XSHE,2018-03-31,2018-04-28,2018-03-31,0.0232,-68684426.14,-108826267.63,70928225.01,0.6946,-0.8557,0.4438,1.3433,8.0845,101.4,0.5343,1.3433,6.6268,2.0871,0.7859,-87.8699,57.2698,-123.1824,74.0333,-13.1138,936.6907,65.8709,-29.7439,65.8709,-29.7439,150.7835,-99.37,302.2372,-97.8914,112.4502,-98.8686
0,294017,000016.XSHE,2020-03-31,2020-04-30,2020-03-31,-0.0916,-333520116.21,-432198630.18,54859916.67,-2.77,-4.19,-0.63,-3.51,7.26,105.54,-3.67,-3.51,6.08,3.08,2.29,154.33,-19.59,151.19,108.88,-13.21,238.6,-27.53,-41.91,-27.53,-41.91,-277.73,-0.8,-273.15,7.34,-357.81,7.49
0,101153,000017.XSHE,2016-06-30,2016-08-26,2016-06-30,0.0005,193162.9,255732.36,,2.5,1.6,0.5,0.7,8.42,99.42,0.58,0.7,4.56,3.24,-0.02,63.8,,63.96,37.52,-5.75,-984.08,-19.25,98.98,-19.25,98.98,-10.94,115.78,55.35,44.04,109.96,106.35
0,254060,000017.XSHE,2019-06-30,2019-08-29,2019-06-30,-0.0008,-499818.8,-700459.67,,-3.15,-3.64,-0.89,-3.71,7.69,104.29,-4.29,-3.71,3.75,8.58,-0.3,114.78,,115.65,24.48,-17.13,399.15,-62.05,-25.66,-62.05,-25.66,-256.53,-29.06,-310.25,-25.15,-234.14,-17.83
0,131461,000018.XSHE,2018-06-30,2018-08-31,2018-06-30,-0.0439,-93066640.49,-74715268.16,-8666507.64,-3.26,-4.08,-0.66,-11.41,6.94,111.26,-12.57,-11.41,2.05,8.25,8.1,80.44,9.33,124.88,173.86,43.48,-386.12,-66.24,-28.15,-66.24,-28.15,-140.32,-225.1,-142.01,-134.61,-143.95,-134.1
0,247489,000018.XSHE,2018-12-31,2019-04-30,2018-12-31,-1.0188,-1232698588.31,-1155128090.04,-121326355.31,-149.09,-106.22,-16.92,-1038.0,-185.13,787.85,-760.07,-1038.0,5.86,75.37,122.44,66.1,6.94,71.25,389.75,-273.58,39.77,-90.73,-75.01,-90.73,-75.01,-18211.36,-715.97,-4272.34,-1356.29,-5597.18,-1359.9
0,247265,000018.XSHE,2019-03-31,2019-04-30,2019-03-31,-0.0759,-128964725.66,-128964725.66,,-75.7,-75.7,-1.36,-84.56,14.78,184.56,-84.56,-84.56,0.44,30.89,66.06,100.0,,100.0,201.91,16.3,-19.28,-83.48,-9.18,-83.48,-9.18,-293.49,89.9,-158.95,92.6,-159.02,92.55
0,260053,000018.XSHE,2019-09-30,2019-10-21,2019-09-30,-0.0658,-108615433.73,-164577442.64,73554770.66,9.01,8.75,-1.4,-164.82,37.22,342.61,-160.85,-164.82,3.36,30.34,245.88,146.54,-65.49,97.15,224.32,-44.55,18.36,-89.91,-34.68,-89.91,-34.68,30.24,86.72,6.59,91.32,5.66,91.32
0,101709,000019.XSHE,2016-09-30,2016-10-25,2016-09-30,-0.0276,-14938242.86,-16127136.07,-407037.28,-1.36,-1.63,-1.45,-19.57,18.57,120.88,-21.41,-19.57,13.88,25.79,-0.82,107.73,2.72,119.89,113.43,-42.67,204.33,-10.38,0.85,-10.38,0.85,-0.04,-24.79,3.25,-34.1,8.03,-39.75
0,101154,000020.XSHE,2016-06-30,2016-08-31,2016-06-30,0.024,6045229.45,8039558.9,,2.15,1.91,1.11,3.96,14.53,95.32,4.68,3.96,1.65,7.77,0.15,88.82,,88.86,76.21,11.98,256.04,30.95,24.79,30.95,24.79,-37.35,4856.54,-50.22,1347.65,-50.22,1347.65
0,102313,000020.XSHE,2016-09-30,2016-10-27,2016-09-30,-0.0098,-3187589.84,-4180329.94,,-0.87,-1.0,-0.45,-1.87,9.94,102.84,-2.84,-1.87,1.77,9.19,1.55,115.64,,115.34,52.95,-30.97,1091.9,4.77,-14.23,4.77,-14.23,-188.82,-152.0,-147.51,-140.62,-147.51,-140.62
0,107270,000020.XSHE,2016-12-31,2017-04-25,2016-12-31,0.0033,2115043.14,4035569.61,,0.3,0.67,0.15,0.58,15.12,97.51,2.69,0.58,2.17,5.81,0.25,152.81,,223.03,196.94,32.28,1297.86,47.44,10.07,47.44,10.07,121.2,204.53,103.92,134.32,103.92,134.32
0,847,000022.XSHE,2016-03-31,2016-04-27,2016-03-31,0.188,120104236.05,149449239.77,27668676.91,2.69,2.67,2.22,34.83,46.39,66.14,40.13,34.83,,9.18,2.93,83.75,15.51,99.08,86.68,23.02,67.98,8.2,-8.42,8.2,-8.42,17.11,16.99,15.7,15.78,18.17,9.96
0,116380,000022.XSHE,2017-09-30,2017-10-30,2017-09-30,0.255,163441103.49,360903755.77,-12822807.5,3.4473,3.428,3.2230000000000003,34.8635,47.1546,60.591,40.9236,34.8635,,6.379,1.0098,128.0573,-4.5498,99.4397,130.2885,72.4005,137.6701,6.8115,48.7914,6.8115,48.7914,6.0666,54.9199,6.2723,58.4314,3.8621,19.480999999999998
0,895,000023.XSHE,2015-12-31,2016-03-10,2015-12-31,-0.0037,6225442.44,12379858.82,,-0.13,1.62,-0.1,-0.42,19.22,96.63,3.37,-0.42,0.82,11.71,1.26,834.48,,-1214.31,73.12,6.2,184.03,8.79,46.5,8.79,46.5,235.35,-49.47,-403.37,-108.8,-142.91,-103.12
0,261539,000023.XSHE,2019-09-30,2019-10-29,2019-09-30,0.1664,18221801.35,35005960.63,5643066.84,4.96,3.91,1.33,7.16,14.47,91.97,9.54,7.16,0.55,3.17,1.93,83.96,13.54,78.92,90.14,16.23,201.99,18.82,-14.54,18.82,-14.54,151.93,17.45,165.59,25.65,136.31,42.45
0,336553,000023.XSHE,2020-09-30,2020-10-28,2020-09-30,0.0731,9835753.46,22705960.01,-213913.7,2.19,2.12,0.68,3.8,11.38,94.8,5.21,3.8,0.71,2.92,1.14,100.57,-0.95,96.93,86.46,27.24,524.24,0.3,-0.6,0.3,-0.6,-45.27,190.0,-46.81,401.94,-56.05,512.41
0,942,000025.XSHE,2015-12-31,2016-04-15,2015-12-31,0.081,19850686.61,7372993.96,18219507.34,2.81,2.32,2.12,33.94,33.03,89.75,35.59,33.94,2.72,16.52,-1.35,28.42,70.22,82.46,123.47,59.48,580.19,-42.5,-1.91,-42.5,-1.91,373.97,99.81,364.82,121.52,289.06,117.96
0,108938,000025.XSHE,2017-03-31,2017-04-28,2017-03-31,0.0151,4075861.25,6340106.5,-2460564.5,0.5008,0.4541,0.3068,4.4759,24.9537,92.18700000000001,4.7808,4.4759,4.0567,11.4607,0.1419,162.6129,-63.1093,90.6758,105.2154,7.6121,97.4287,1.7899,-2.8072,1.7899,-2.8072,-40.0607,-3.5906,-41.2703,211.0018,-27.0551,359.5048
0,101711,000033.XSHE,2016-09-30,2016-10-25,2016-09-30,0.0073,2760756.07,3118784.78,,23.67,20.93,0.93,12.33,37.93,87.68,12.32,12.33,3.75,20.81,-0.07,89.6,,88.41,76.26,-24.64,-200.08,49.36,8.03,49.36,8.03,159.12,2107.63,165.81,897.69,165.81,897.69
0,241989,000037.XSHE,2019-03-31,2019-04-23,2019-03-31,-0.0471,-28916498.43,-34138709.06,-431753.1,-1.44,-1.47,-1.06,-22.49,-4.01,122.32,-21.91,-22.49,0.69,13.49,3.22,102.1,1.29,101.91,121.82,-3.2,14.35,-62.09,-42.29,-62.09,-42.29,-173.3,42.07,-124.81,-63.94,-159.64,-58.32
0,106008,000038.XSHE,2016-12-31,2017-04-15,2016-12-31,0.3811,120115576.86,143694223.54,3178601.36,2.5,2.41,1.95,31.98,50.81,62.73,38.1,31.98,2.22,4.39,-0.71,97.48,2.16,96.46,88.6,37.6,100.86,166.05,48.67,166.05,48.67,1165.51,340.48,1786.71,487.75,2481.27,505.24
0,123348,000038.XSHE,2017-12-31,2018-04-21,2017-12-31,0.1749,59908064.5,97837046.7,10211785.47,1.7107,1.1206,1.5905,20.6527,30.4936,77.8371,24.4762,20.6527,1.5976,3.6179,-2.4684,89.023,9.2918,65.5064,41.0668,-31.7842,-143.412,14.51,102.9801,14.51,102.9801,-26.271,10.6347,-26.0606,10.2965,-26.5597,10.732000000000001
0,129069,000038.XSHE,2018-06-30,2018-08-21,2018-06-30,0.1284,61633830.37,78626603.06,3465178.22,1.25,1.15,1.17,8.58,14.11,89.91,10.53,8.58,0.88,2.46,-1.39,95.83,4.22,91.82,86.79,-12.31,-122.01,96.68,71.9,96.68,71.9,-30.19,32.98,-25.46,28.67,-25.17,29.15
0,253654,000038.XSHE,2019-06-30,2019-08-24,2019-06-30,0.0112,6026140.2,12337900.25,31661.92,0.21,0.21,0.18,1.18,7.13,97.51,2.49,1.18,-0.1,3.31,-0.46,98.99,0.25,103.21,147.85,-7.42,-298.28,-36.36,-15.55,-36.36,-15.55,-84.93,29.78,-91.22,31.56,-91.3,38.51
0,266003,000038.XSHE,2019-09-30,2019-10-31,2019-09-30,-0.0153,-9514688.37,14216834.96,615022.33,-0.3,-0.36,-0.28,-2.11,6.62,96.36,-0.76,-2.11,1.04,3.37,-1.71,-474.66,-20.53,118.97,102.07,7.03,192.94,-54.91,-21.28,-54.91,-21.28,-102.33,-123.05,-108.19,-233.98,-107.92,-230.58
0,289358,000038.XSHE,2019-12-31,2020-04-23,2019-12-31,0.2285,30957903.97,46443585.86,38663436.34,4.43,1.15,4.12,33.49,14.76,87.14,21.59,33.49,0.22,2.84,-1.64,36.26,30.19,25.91,111.21,-140.61,-1093.66,-26.72,-7.47,-26.72,-7.47,102.79,2717.09,104.36,1566.96,104.31,1593.91
0,326619,000038.XSHE,2020-06-30,2020-08-25,2020-06-30,0.1,15000601.1,29981022.15,1422542.63,1.86,0.54,1.79,16.33,12.33,91.23,6.26,16.33,1.42,3.31,-1.43,50.26,2.38,28.7,87.87,-50.13,-571.5,-31.08,32.83,-31.08,32.83,65.37,-20.69,806.99,174.07,753.42,146.68
0,102667,000039.XSHE,2016-09-30,2016-10-28,2016-09-30,0.0545,108457000.0,323591000.0,70834000.0,0.68,0.39,0.21,2.16,19.05,97.17,3.45,2.16,4.98,8.62,1.15,74.71,16.35,57.57,124.39,-1.71,-60.42,-9.45,-12.88,-9.45,-12.88,-5.9,143.46,-8.18,124.12,-8.72,123.89
0,294990,000040.XSHE,2020-03-31,2020-04-30,2020-03-31,-0.036000000000000004,-80063461.93,-78835249.54,15504967.98,-0.4,-0.6,-0.17,-9.27,19.68,114.1,-8.03,-9.27,0.35,7.59,24.76,165.43,-32.54,149.39,107.53,-77.15,547.09,-74.86,34.12,-74.86,34.12,-198.89,95.03,-409.99,94.97,-387.4,94.8
0,379663,000040.XSHE,2020-12-31,2021-04-30,2020-12-31,-0.5526,-786153396.68,-217788897.71,-108586591.53,-6.47,-6.19,-2.97,-86.77,5.04,122.52,-88.76,-86.77,0.05,5.71,20.18,25.35,12.64,95.67,57.44,7.39,-32.79,131.99,-17.87,131.99,-17.87,5.01,-831.13,18.57,-1141.34,20.28,-1105.46
0,1694,000042.XSHE,2015-12-31,2016-03-29,2015-12-31,-0.0182,-11147134.41,53245702.12,12292716.89,-0.26,-0.24,-0.05,-0.71,34.19,97.19,3.45,-0.71,7.32,6.37,4.17,89.95,20.77,92.2,120.46,-4.46,-158.92,44.36,134.47,44.36,134.47,-17.26,364.67,-793.62,-220.41,-1455.51,-188.75
0,126617,000042.XSHE,2017-12-31,2018-04-27,2017-12-31,0.5577,317006569.28,605142782.17,47137676.48,5.9496,5.0868,0.8490000000000001,7.8709,44.9246,86.8873,14.3631,7.8709,2.387,3.6679,7.0146,99.4439,7.7462,85.4973,71.6176,33.7473,257.3627,68.2303,492.2816,68.2303,492.2816,170.9872,412.79,139.1072,283.5682,107.6672,297.582
0,133813,000042.XSHE,2018-09-30,2018-10-30,2018-09-30,0.0594,27247483.53,117807180.01,-28906071.01,0.56,0.39,0.09,3.73,52.34,89.6,7.87,3.73,6.02,9.72,10.6,130.01,-31.9,68.99,232.95,148.71,1429.65,45.35,-74.4,45.35,-74.4,-31.07,-87.48,-55.38,-90.35,-57.65,-91.26
0,244620,000042.XSHE,2019-03-31,2019-04-27,2019-03-31,0.3488,228865149.13,354355890.24,-34552018.91,3.14,3.1,0.45,14.26,57.97,74.96,22.6,14.26,2.36,7.86,7.47,111.98,-10.92,98.7,77.39,-2.16,-8.62,-7.1,64.15,-7.1,64.15,-16.38,221.9,-25.67,159.9,-12.92,174.59
0,135066,000046.XSHE,2018-09-30,2018-10-31,2018-09-30,0.09300000000000001,448901931.55,161973331.34,218643282.18,2.26,2.1,0.25,38.78,56.64,94.58,12.92,17.2,1.26,35.15,14.59,38.75,52.31,92.84,331.58,177.86,1454.0,-16.47,32.71,3.4,57.07,-21.95,451.3,32.61,385.48,51.93,361.39
0,240071,000046.XSHE,2018-12-31,2019-04-17,2018-12-31,-0.1706,-1253281445.09,-1438830175.45,497408936.65,-4.29,-6.07,-0.41,-34.25,45.72,133.24,-15.78,-19.9,1.93,20.48,18.76,217.35,-75.14,141.4,156.06,106.47,-186.12,-45.65,44.97,-48.4,89.96,-127.97,-276.99,-148.28,-267.76,-153.1,-283.3
0,329032,000046.XSHE,2020-06-30,2020-08-29,2020-06-30,-0.0554,-292814298.32,-179112196.71,661910525.33,-1.34,-1.36,-0.12,-133.14,32.46,105.73,-4.27,-6.86,0.42,41.55,28.83,129.89,-480.0,101.73,490.61,643.86,-579.56,36.06,34.02,-67.5,-0.26,69.21,33.98,35.01,-57.37,17.13,-139.09
0,339173,000046.XSHE,2020-09-30,2020-10-31,2020-09-30,-0.0386,-154996570.83,-666763192.44,936892167.92,-0.95,-0.74,-0.02,-4.75,32.79,117.6,4.9,-0.8,1.56,37.17,38.8,-717.55,1008.25,77.31,211.56,147.31,-140.1,20.22,20.38,20.85,293.32,-82.1,238.34,-103.51,85.95,-126.53,30.35
0,1886,000048.XSHE,2014-12-31,2015-04-28,2014-12-31,0.2608,96242351.76,129512478.36,1401723.78,21.87,20.65,5.47,11.59,43.22,85.4,14.76,11.59,4.6,7.51,0.22,94.51,1.02,94.42,65.24,13.26,90.84,124.48,68.5,124.48,68.5,367.55,814.58,300.3,796.21,316.71,1516.84
0,1883,000048.XSHE,2015-09-30,2015-10-30,2015-09-30,0.0617,23099722.59,17989586.69,19369939.1,3.6,3.45,1.44,5.33,23.32,96.75,6.76,5.33,3.9,7.69,-0.15,46.01,49.54,95.79,88.15,0.81,24.97,5.02,-36.13,5.02,-36.13,161.0,-80.13,156.8,-79.02,282.52,-82.56
0,101132,000048.XSHE,2016-06-30,2016-08-30,2016-06-30,0.0183,6142050.6,13747171.68,278880.66,0.98,0.84,0.47,2.1,20.3,96.76,3.31,2.1,3.5,10.85,0.24,88.44,1.79,85.9,100.33,-116.1,-3578.02,-51.06,32.81,-51.06,32.81,-92.54,13.52,-93.65,1.88,-94.83,-4.62
0,109907,000048.XSHE,2017-03-31,2017-04-29,2017-03-31,-0.0473,-14221199.0,-18309844.0,-161508.5781,-2.562,-1.9715,-0.9369,-6.3814,13.4243,106.0219,-6.075,-6.3814,5.7066,13.3245,0.1606,76.038,0.6707,76.9503,97.9469,-45.3016,752.2825,-4.6871,-17.8641,-4.6871,-17.8641,-249.5041,42.9295,-321.6685,36.6343,-346.5326,23.4692
0,131582,000048.XSHE,2018-06-30,2018-08-31,2018-06-30,0.1813,69438314.73,103631963.92,991555.3,6.76,6.62,1.89,11.03,36.64,84.66,15.29,11.03,5.75,6.4,0.24,100.58,0.96,98.02,115.05,-13.44,-87.59,85.8,75.51,85.8,75.51,623.13,1090.95,460.35,1647.62,624.65,3033.49
0,239919,000048.XSHE,2018-12-31,2019-04-15,2018-12-31,0.8908,347495569.08,467567846.5,2920294.75,32.92,32.86,6.76,19.36,56.26,73.97,26.66,19.36,6.56,2.61,-0.09,101.42,0.63,99.83,70.19,14.55,55.89,326.87,209.78,326.87,209.78,599.5,1359.75,484.96,1410.75,420.06,2049.35
