,id,code,statDate,pubDate,statDate.1,cash_equivalents,settlement_provi,lend_capital,trading_assets,bill_receivable,account_receivable,advance_payment,insurance_receivables,reinsurance_receivables,reinsurance_contract_reserves_receivable,interest_receivable,dividend_receivable,other_receivable,bought_sellback_assets,inventories,non_current_asset_in_one_year,other_current_assets,total_current_assets,loan_and_advance,hold_for_sale_assets,hold_to_maturity_investments,longterm_receivable_account,longterm_equity_invest,investment_property,fixed_assets,constru_in_process,construction_materials,fixed_assets_liquidation,biological_assets,oil_gas_assets,intangible_assets,development_expenditure,good_will,long_deferred_expense,deferred_tax_assets,other_non_current_assets,total_non_current_assets,total_assets,shortterm_loan,borrowing_from_centralbank,deposit_in_interbank,borrowing_capital,trading_liability,notes_payable,accounts_payable,advance_peceipts,sold_buyback_secu_proceeds,commission_payable,salaries_payable,taxs_payable,interest_payable,dividend_payable,other_payable,reinsurance_payables,insurance_contract_reserves,proxy_secu_proceeds,receivings_from_vicariously_sold_securities,non_current_liability_in_one_year,other_current_liability,total_current_liability,longterm_loan,bonds_payable,longterm_account_payable,specific_account_payable,estimate_liability,deferred_tax_liability,other_non_current_liability,total_non_current_liability,total_liability,paidin_capital,capital_reserve_fund,treasury_stock,specific_reserves,surplus_reserve_fund,ordinary_risk_reserve_fund,retained_profit,foreign_currency_report_conv_diff,equities_parent_company_owners,minority_interests,total_owner_equities,total_sheet_owner_equities
0,154204,300187.XSHE,2019-09-30,2019-10-28,2019-09-30,312028700.98,,,,,379947754.14,8056264.11,,,,,,62626503.57,,406061661.61,133763043.12,39674781.73,1377296790.48,,,,26655631.25,7335994.8,17385176.13,463055376.13,63511253.2,,,,,711998040.83,,25297076.27,5450199.19,9749827.48,46776454.99,1528415030.27,2905711820.75,340000000.0,,,,,75634543.12,499697783.46,41203583.96,,,12107917.82,5472839.47,1813406.64,,180071191.02,,,,,,,1156001265.49,129500000.0,,,,8800159.04,4479813.71,,180096877.7,1336098143.19,644500165.0,374664068.88,,7065878.96,59364537.79,,386128247.46,,1472248580.61,97365096.95,1569613677.56,2905711820.75
0,46855,300189.XSHE,2016-03-31,2016-04-26,2016-03-31,538505856.0,,,,,128350544.0,78413360.0,,,,,,13166453.0,,279367808.0,47971.8711,369426368.0,1407278336.0,,10000000.0,,,62339624.0,9178452.0,319193664.0,205210576.0,,,,,205593296.0,12630118.0,,28694792.0,,,852840512.0,2260118784.0,38000000.0,,,,,,26755470.0,43039984.0,,,3080499.25,-699339.5,,,12655495.0,,,,,2300000.0,,125132112.0,,,,8612282.0,1180950.0,,,84491304.0,209623408.0,1024000000.0,280409280.0,,,19582068.0,,92350080.0,,1416341376.0,634154048.0,2050495488.0,2260118784.0
0,129069,300189.XSHE,2018-09-30,2018-10-27,2018-09-30,122720406.22,,,,51907200.0,103229204.99,46190561.5,,,,,,7105697.37,,110945974.93,,57365491.84,499464536.85,,47000000.0,,,287136114.01,5750241.0,203704223.71,272354250.47,,,,,170669199.25,3522082.4,,18985125.34,177359.04,,1009298595.22,1508763132.07,,,,,,,,33164393.14,,,2451884.98,2165797.28,,,15397579.49,,,,,,,64881035.26,,,1319100.0,,860000.0,,,10708296.22,75589331.48,1024000000.0,253813347.02,,,19582068.38,,123708226.78,,1421103642.18,12070158.41,1433173800.59,1508763132.07
0,146307,300189.XSHE,2019-06-30,2019-08-30,2019-06-30,126088325.38,,,,,148299755.61,36472796.56,,,,,,12151596.85,,119327427.68,,18639720.7,460979622.78,,,,,295135374.06,5606575.8,193472779.86,273598563.87,,,,,162521284.3,1178345.88,,16729441.31,833515.67,,996075880.75,1457055503.53,,,,,,,31393842.85,27634659.59,,,3072764.78,1008051.69,,,15249041.23,,,,,,,78358360.14,,,184465.78,,,,,6340000.12,84698360.26,1024000000.0,243979202.83,,,21762164.19,,71679296.7,,1361420663.72,10936479.55,1372357143.27,1457055503.53
0,156834,300189.XSHE,2019-09-30,2019-10-30,2019-09-30,127567455.46,,,,,127622763.16,30233531.33,,,,,,13983660.32,,103297297.29,,1116141.1,418020848.66,,,,,294072995.07,5558687.4,190849611.59,273685239.77,,,,,160434725.19,1178345.88,,15641295.36,833515.67,,989254415.93,1407275264.59,,,,,,,31234703.48,31443580.05,,,2971529.55,633310.17,,,19626705.84,,,,,,,85909829.09,,,158435.59,,,,,5506292.08,91416121.17,1024000000.0,243979202.83,,,21762164.19,,20685824.03,,1310427191.05,5431952.37,1315859143.42,1407275264.59
0,182668,300189.XSHE,2019-12-31,2020-04-28,2019-12-31,104050996.93,,,,,46286322.17,27707070.2,,,,,,27656714.63,,45261791.21,,421763.56,252480470.32,,,,,289120273.68,12686761.92,174620512.08,171319562.38,,,,,158191145.92,,,13752557.04,,,869696613.02,1122177083.34,,,,,,,16578081.52,23233088.15,,,7719101.3,1231849.22,,,19679299.33,,,,,132405.4,,68573824.92,,,,,4293000.0,,,8752548.64,77326373.56,1024000000.0,274454373.71,,,20996074.16,,-270969308.27,,1048481139.6,-3630429.82,1044850709.78,1122177083.34
0,182406,300189.XSHE,2020-03-31,2020-04-28,2020-03-31,113523654.84,,,,,53237175.87,23813586.14,,,,,,17046123.03,,32608393.58,,465529.65,241790274.73,,,,,289397012.6,12517247.04,171263498.24,170676376.35,,,,,156496777.4,,,12715149.21,,,863071860.84,1104862135.57,,,,,,,17550317.56,15787188.51,,,4260212.4,1070223.77,,,14058030.77,,,,,106375.21,,56271289.57,,,,,4438700.0,,,8099619.44,64370909.01,1024000000.0,274454373.71,,,20996074.16,,-275118464.93,,1044331982.94,-3840756.38,1040491226.56,1104862135.57
0,219681,300189.XSHE,2020-12-31,2021-04-28,2020-12-31,203433539.63,,,39333792.13,,49438255.59,10573841.99,,,,,,14763084.73,,49063288.51,,3381075.0,369986877.58,,,,,228398521.39,14683840.54,239900899.81,31895249.77,,,,,162606314.35,,,10921829.91,,,735406655.77,1105393533.35,16821360.49,,,,,,20630554.31,2475838.65,,,5894722.61,1190747.89,,,16740566.06,,,,,,4325655.65,77950598.33,,,2676062.81,,4998640.04,,4177968.66,18687748.22,96638346.55,1024000000.0,274613415.66,,,20996074.16,,-390960493.55,,928648996.27,80106190.53,1008755186.8,1105393533.35
0,118040,300190.XSHE,2018-03-31,2018-04-17,2018-03-31,963518413.47,,,,41353758.7,895817297.93,92636331.21,,,,4787513.07,,94205205.31,,1023342303.06,,247070201.8,3362731024.55,,25696742.15,,,30934029.36,,422593293.28,170584829.88,,,,,995294889.66,,1049479364.75,579946.43,22038637.74,,2717201733.25,6079932757.8,169000000.0,,,,,47452714.58,635779307.86,113749627.21,,,10069582.55,198950023.03,11741535.53,,50821228.42,,,,,27507000.0,3913739.63,1268984758.81,716520380.0,199120323.51,,,,,,1022341312.28,2291326071.09,452284906.0,2644427219.89,,,45342507.31,,511438946.18,,3656626469.8,131980216.91,3788606686.71,6079932757.8
0,128542,300191.XSHE,2018-09-30,2018-10-26,2018-09-30,356014839.57,,,,,74268267.03,245772.94,,,,,,1433467.52,,,,354891569.96,786853917.02,,,,18849198.21,,14841366.95,174767986.53,182360805.85,,,,66131462.64,35640549.84,5052561.39,,847215.05,1564641.05,8839543.49,508895331.0,1295749248.02,,,,,,,,236331.0,,,795465.24,1475963.02,,,6538006.08,,,,,,,48648048.33,39146087.6,,,,,2933453.91,,44237054.01,92885102.34,320000000.0,549508133.84,,,72939151.8,,219137737.98,,1164076056.36,38788089.32,1202864145.68,1295749248.02
